,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio
Hellboy,Hellboy,1,-0.9989,-0.9712,0.9937,0.9325,-0.7277,3,7,1,3,1,251,130,105,86,71,"{'neg': 0.178, 'neu': 0.722, 'pos': 0.099, 'compound': -0.9997}","{'neg': 0.118, 'neu': 0.775, 'pos': 0.108, 'compound': -0.9972}","{'neg': 0.104, 'neu': 0.735, 'pos': 0.161, 'compound': 0.9992}","{'neg': 0.1, 'neu': 0.782, 'pos': 0.117, 'compound': 0.9773}","{'neg': 0.12, 'neu': 0.763, 'pos': 0.117, 'compound': -0.7277}",502,520,315,172,71,0.178,0.118,0.104,0.1,0.12,0.099,0.108,0.161,0.117,0.117,-0.9997,-0.9972,0.9992,0.9773,-0.7277,15,643,0.02332814930015552
ParaNorman,ParaNorman,1,-0.9998,-0.9864,0.9831,-0.9954,-0.9948,27,5,3,5,4,517,191,154,119,123,"{'neg': 0.146, 'neu': 0.77, 'pos': 0.084, 'compound': -1.0}","{'neg': 0.105, 'neu': 0.815, 'pos': 0.079, 'compound': -0.9991}","{'neg': 0.143, 'neu': 0.694, 'pos': 0.163, 'compound': 0.999}","{'neg': 0.131, 'neu': 0.794, 'pos': 0.076, 'compound': -0.9997}","{'neg': 0.141, 'neu': 0.759, 'pos': 0.1, 'compound': -0.9996}",2068,764,616,476,492,0.146,0.105,0.143,0.131,0.141,0.084,0.079,0.163,0.076,0.1,-1.0,-0.9991,0.999,-0.9997,-0.9996,44,1104,0.03985507246376811
The Boxtrolls,"Boxtrolls,-The",1,0.9873,0.9986,0.9947,-0.6546,-0.2603,5,5,5,1,1,252,197,217,23,17,"{'neg': 0.122, 'neu': 0.739, 'pos': 0.139, 'compound': 0.9984}","{'neg': 0.078, 'neu': 0.76, 'pos': 0.162, 'compound': 0.9996}","{'neg': 0.111, 'neu': 0.739, 'pos': 0.15, 'compound': 0.9947}","{'neg': 0.145, 'neu': 0.723, 'pos': 0.132, 'compound': -0.6546}","{'neg': 0.065, 'neu': 0.887, 'pos': 0.048, 'compound': -0.2603}",756,394,217,23,17,0.122,0.078,0.111,0.145,0.065,0.139,0.162,0.15,0.132,0.048,0.9984,0.9996,0.9947,-0.6546,-0.2603,17,706,0.024079320113314446
Year One,Year-One,0,0.9998,0.9818,0.997,0.9949,0.9987,31,14,9,4,3,837,355,227,79,103,"{'neg': 0.096, 'neu': 0.767, 'pos': 0.137, 'compound': 1.0}","{'neg': 0.089, 'neu': 0.817, 'pos': 0.094, 'compound': 0.9977}","{'neg': 0.098, 'neu': 0.773, 'pos': 0.129, 'compound': 0.9996}","{'neg': 0.048, 'neu': 0.819, 'pos': 0.134, 'compound': 0.9985}","{'neg': 0.09, 'neu': 0.726, 'pos': 0.185, 'compound': 0.9998}",2511,1065,681,158,309,0.096,0.089,0.098,0.048,0.09,0.137,0.094,0.129,0.134,0.185,1.0,0.9977,0.9996,0.9985,0.9998,61,1601,0.038101186758276076
Star Trek: Nemesis,Star-Trek-Nemesis,1,0.9996,0.9986,0.998,0.7844,0.8878,19,12,10,7,6,413,296,154,70,55,"{'neg': 0.086, 'neu': 0.779, 'pos': 0.135, 'compound': 1.0}","{'neg': 0.092, 'neu': 0.772, 'pos': 0.137, 'compound': 0.9996}","{'neg': 0.069, 'neu': 0.798, 'pos': 0.133, 'compound': 0.9998}","{'neg': 0.075, 'neu': 0.839, 'pos': 0.086, 'compound': 0.7844}","{'neg': 0.057, 'neu': 0.855, 'pos': 0.088, 'compound': 0.8878}",1652,592,462,70,55,0.086,0.092,0.069,0.075,0.057,0.135,0.137,0.133,0.086,0.088,1.0,0.9996,0.9998,0.7844,0.8878,54,988,0.05465587044534413
Invictus,Invictus,1,0.9997,0.9988,0.8894,0.9166,0.9791,6,5,3,1,2,328,127,111,55,28,"{'neg': 0.104, 'neu': 0.71, 'pos': 0.186, 'compound': 1.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.098, 'neu': 0.754, 'pos': 0.148, 'compound': 0.9791}",984,0,0,0,28,0.104,0.0,0.0,0.0,0.098,0.186,0.0,0.0,0.0,0.148,1.0,0.0,0.0,0.0,0.9791,17,649,0.026194144838212634
Intolerable Cruelty,Intolerable-Cruelty,1,0.9999,0.9998,0.9711,-0.9618,0.9956,18,18,0,3,0,607,434,70,50,58,"{'neg': 0.112, 'neu': 0.703, 'pos': 0.185, 'compound': 1.0}","{'neg': 0.092, 'neu': 0.737, 'pos': 0.171, 'compound': 1.0}","{'neg': 0.08, 'neu': 0.764, 'pos': 0.156, 'compound': 0.9982}","{'neg': 0.15, 'neu': 0.759, 'pos': 0.092, 'compound': -0.9618}","{'neg': 0.084, 'neu': 0.737, 'pos': 0.18, 'compound': 0.9994}",2428,1736,280,50,174,0.112,0.092,0.08,0.15,0.084,0.185,0.171,0.156,0.092,0.18,1.0,1.0,0.9982,-0.9618,0.9994,39,1219,0.03199343724364233
The Relic,"Relic,-The",0,-0.9322,-0.987,-0.9947,0.9961,-0.7303,12,14,8,16,9,283,341,232,183,120,"{'neg': 0.1, 'neu': 0.797, 'pos': 0.103, 'compound': -0.9857}","{'neg': 0.113, 'neu': 0.781, 'pos': 0.106, 'compound': -0.9983}","{'neg': 0.111, 'neu': 0.816, 'pos': 0.072, 'compound': -0.9985}","{'neg': 0.086, 'neu': 0.789, 'pos': 0.125, 'compound': 0.9995}","{'neg': 0.163, 'neu': 0.684, 'pos': 0.154, 'compound': -0.7303}",849,1023,464,549,120,0.1,0.113,0.111,0.086,0.163,0.103,0.106,0.072,0.125,0.154,-0.9857,-0.9983,-0.9985,0.9995,-0.7303,59,1159,0.05090595340811044
Analyze That,Analyze-That,0,0.9715,-0.9837,0.9861,0.9937,0.9947,19,16,3,2,1,574,566,100,81,95,"{'neg': 0.124, 'neu': 0.742, 'pos': 0.134, 'compound': 0.9977}","{'neg': 0.127, 'neu': 0.754, 'pos': 0.119, 'compound': -0.9979}","{'neg': 0.08, 'neu': 0.807, 'pos': 0.113, 'compound': 0.9861}","{'neg': 0.097, 'neu': 0.716, 'pos': 0.188, 'compound': 0.9937}","{'neg': 0.091, 'neu': 0.749, 'pos': 0.16, 'compound': 0.9994}",2296,1698,100,81,285,0.124,0.127,0.08,0.097,0.091,0.134,0.119,0.113,0.188,0.16,0.9977,-0.9979,0.9861,0.9937,0.9994,41,1416,0.028954802259887006
Priest,Priest,1,-0.9992,-0.9987,0.9928,0.953,-0.9851,11,19,6,3,1,391,381,126,96,61,"{'neg': 0.127, 'neu': 0.782, 'pos': 0.091, 'compound': -0.9999}","{'neg': 0.119, 'neu': 0.791, 'pos': 0.09, 'compound': -0.9997}","{'neg': 0.09, 'neu': 0.796, 'pos': 0.114, 'compound': 0.9981}","{'neg': 0.119, 'neu': 0.746, 'pos': 0.135, 'compound': 0.953}","{'neg': 0.13, 'neu': 0.778, 'pos': 0.092, 'compound': -0.9851}",1173,762,252,96,61,0.127,0.119,0.09,0.119,0.13,0.091,0.09,0.114,0.135,0.092,-0.9999,-0.9997,0.9981,0.953,-0.9851,40,1055,0.037914691943127965
Event Horizon,Event-Horizon,0,-0.9993,-0.9963,0.8975,0.9793,-0.9957,13,12,10,2,8,380,232,132,117,73,"{'neg': 0.117, 'neu': 0.805, 'pos': 0.077, 'compound': -1.0}","{'neg': 0.109, 'neu': 0.804, 'pos': 0.087, 'compound': -0.9996}","{'neg': 0.061, 'neu': 0.866, 'pos': 0.072, 'compound': 0.9883}","{'neg': 0.064, 'neu': 0.831, 'pos': 0.105, 'compound': 0.9983}","{'neg': 0.152, 'neu': 0.791, 'pos': 0.057, 'compound': -0.9989}",1520,696,528,468,146,0.117,0.109,0.061,0.064,0.152,0.077,0.087,0.072,0.105,0.057,-1.0,-0.9996,0.9883,0.9983,-0.9989,45,934,0.048179871520342615
The Black Dahlia,"Black-Dahlia,-The",0,0.9898,-0.9813,0.9821,0.9698,-0.838,16,4,9,7,3,556,170,164,148,134,"{'neg': 0.101, 'neu': 0.783, 'pos': 0.116, 'compound': 0.9971}","{'neg': 0.108, 'neu': 0.815, 'pos': 0.077, 'compound': -0.9813}","{'neg': 0.102, 'neu': 0.785, 'pos': 0.113, 'compound': 0.9977}","{'neg': 0.077, 'neu': 0.819, 'pos': 0.104, 'compound': 0.9698}","{'neg': 0.109, 'neu': 0.783, 'pos': 0.108, 'compound': -0.838}",1112,170,492,148,134,0.101,0.108,0.102,0.077,0.109,0.116,0.077,0.113,0.104,0.108,0.9971,-0.9813,0.9977,0.9698,-0.838,39,1172,0.033276450511945395
Deadpool,Deadpool,1,0.9835,0.9979,0.9057,-0.9987,0.9637,18,5,3,6,1,487,281,118,169,73,"{'neg': 0.118, 'neu': 0.757, 'pos': 0.125, 'compound': 0.9954}","{'neg': 0.124, 'neu': 0.71, 'pos': 0.166, 'compound': 0.9999}","{'neg': 0.089, 'neu': 0.78, 'pos': 0.131, 'compound': 0.9057}","{'neg': 0.191, 'neu': 0.687, 'pos': 0.122, 'compound': -0.9997}","{'neg': 0.126, 'neu': 0.696, 'pos': 0.177, 'compound': 0.9949}",974,1124,118,338,219,0.118,0.124,0.089,0.191,0.126,0.125,0.166,0.131,0.122,0.177,0.9954,0.9999,0.9057,-0.9997,0.9949,33,1128,0.02925531914893617
American Sniper,American-Sniper,1,-0.9665,-0.8829,-0.8632,-0.9291,-0.9419,14,7,2,6,0,434,172,84,73,67,"{'neg': 0.114, 'neu': 0.776, 'pos': 0.11, 'compound': -0.9899}","{'neg': 0.091, 'neu': 0.816, 'pos': 0.093, 'compound': -0.8829}","{'neg': 0.077, 'neu': 0.856, 'pos': 0.067, 'compound': -0.8632}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.104, 'neu': 0.817, 'pos': 0.078, 'compound': -0.9419}",868,172,84,0,67,0.114,0.091,0.077,0.0,0.104,0.11,0.093,0.067,0.0,0.078,-0.9899,-0.8829,-0.8632,0.0,-0.9419,29,830,0.03493975903614458
Sex and the City,Sex-and-the-City,1,1.0,0.9797,0.9992,0.9989,0.9769,25,9,9,8,6,682,269,269,168,155,"{'neg': 0.066, 'neu': 0.756, 'pos': 0.177, 'compound': 1.0}","{'neg': 0.11, 'neu': 0.772, 'pos': 0.118, 'compound': 0.9984}","{'neg': 0.08, 'neu': 0.788, 'pos': 0.132, 'compound': 0.9999}","{'neg': 0.054, 'neu': 0.769, 'pos': 0.178, 'compound': 0.9999}","{'neg': 0.153, 'neu': 0.689, 'pos': 0.158, 'compound': 0.9982}",2728,1076,807,504,620,0.066,0.11,0.08,0.054,0.153,0.177,0.118,0.132,0.178,0.158,1.0,0.9984,0.9999,0.9999,0.9982,57,1543,0.03694102397926118
Devil's Advocate,Devil's-Advocate,1,-0.9979,0.9994,-0.9581,0.9247,0.9962,29,17,1,1,2,691,562,194,70,60,"{'neg': 0.13, 'neu': 0.752, 'pos': 0.118, 'compound': -0.9995}","{'neg': 0.116, 'neu': 0.727, 'pos': 0.157, 'compound': 0.9999}","{'neg': 0.12, 'neu': 0.765, 'pos': 0.115, 'compound': -0.9929}","{'neg': 0.097, 'neu': 0.769, 'pos': 0.135, 'compound': 0.9773}","{'neg': 0.036, 'neu': 0.796, 'pos': 0.168, 'compound': 0.999}",1382,1686,582,140,120,0.13,0.116,0.12,0.097,0.036,0.118,0.157,0.115,0.135,0.168,-0.9995,0.9999,-0.9929,0.9773,0.999,50,1577,0.03170577045022194
Into the Woods,Into-the-Woods,1,0.9448,0.9988,0.9951,0.7729,0.5987,9,2,2,5,1,287,179,105,110,76,"{'neg': 0.114, 'neu': 0.765, 'pos': 0.121, 'compound': 0.9939}","{'neg': 0.047, 'neu': 0.791, 'pos': 0.162, 'compound': 0.9997}","{'neg': 0.103, 'neu': 0.702, 'pos': 0.195, 'compound': 0.9951}","{'neg': 0.133, 'neu': 0.743, 'pos': 0.124, 'compound': 0.7729}","{'neg': 0.098, 'neu': 0.793, 'pos': 0.109, 'compound': 0.687}",861,358,105,110,152,0.114,0.047,0.103,0.133,0.098,0.121,0.162,0.195,0.124,0.109,0.9939,0.9997,0.9951,0.7729,0.687,19,757,0.02509907529722589
The Pacifier,"Pacifier,-The",1,0.9994,0.9706,0.9094,0.9942,0.981,15,2,1,3,3,505,89,73,77,65,"{'neg': 0.098, 'neu': 0.759, 'pos': 0.143, 'compound': 0.9999}","{'neg': 0.095, 'neu': 0.767, 'pos': 0.139, 'compound': 0.9913}","{'neg': 0.114, 'neu': 0.74, 'pos': 0.146, 'compound': 0.9718}","{'neg': 0.075, 'neu': 0.766, 'pos': 0.159, 'compound': 0.9993}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",1515,178,146,231,0,0.098,0.095,0.114,0.075,0.0,0.143,0.139,0.146,0.159,0.0,0.9999,0.9913,0.9718,0.9993,0.0,24,809,0.029666254635352288
Walking Tall,Walking-Tall,0,0.9874,0.9869,0.8975,0.9916,-0.4606,9,0,2,2,1,209,73,75,60,27,"{'neg': 0.077, 'neu': 0.819, 'pos': 0.104, 'compound': 0.9984}","{'neg': 0.084, 'neu': 0.757, 'pos': 0.16, 'compound': 0.9869}","{'neg': 0.073, 'neu': 0.817, 'pos': 0.11, 'compound': 0.8975}","{'neg': 0.036, 'neu': 0.827, 'pos': 0.137, 'compound': 0.9916}","{'neg': 0.098, 'neu': 0.821, 'pos': 0.082, 'compound': -0.4606}",627,73,75,60,27,0.077,0.084,0.073,0.036,0.098,0.104,0.16,0.11,0.137,0.082,0.9984,0.9869,0.8975,0.9916,-0.4606,14,444,0.03153153153153153
Forrest Gump,Forrest-Gump,1,1.0,0.9939,0.9652,0.8916,-0.8271,18,4,2,1,2,616,195,59,19,7,"{'neg': 0.059, 'neu': 0.786, 'pos': 0.155, 'compound': 1.0}","{'neg': 0.058, 'neu': 0.813, 'pos': 0.129, 'compound': 0.9939}","{'neg': 0.024, 'neu': 0.904, 'pos': 0.072, 'compound': 0.9652}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",1232,195,59,0,0,0.059,0.058,0.024,0.0,0.0,0.155,0.129,0.072,0.0,0.0,1.0,0.9939,0.9652,0.0,0.0,27,896,0.030133928571428572
Date Night,Date-Night,1,0.9998,0.9993,0.9879,-0.9142,0.9113,16,15,6,1,1,751,559,119,45,30,"{'neg': 0.087, 'neu': 0.774, 'pos': 0.139, 'compound': 1.0}","{'neg': 0.085, 'neu': 0.798, 'pos': 0.118, 'compound': 0.9999}","{'neg': 0.063, 'neu': 0.837, 'pos': 0.101, 'compound': 0.9969}","{'neg': 0.088, 'neu': 0.864, 'pos': 0.049, 'compound': -0.9751}","{'neg': 0.102, 'neu': 0.76, 'pos': 0.138, 'compound': 0.9694}",3004,1677,238,90,60,0.087,0.085,0.063,0.088,0.102,0.139,0.118,0.101,0.049,0.138,1.0,0.9999,0.9969,-0.9751,0.9694,39,1504,0.025930851063829786
Alien 3,Alien-3,1,-0.999,-0.7519,-0.9996,0.9849,0.9175,17,13,9,6,0,428,302,173,119,38,"{'neg': 0.135, 'neu': 0.761, 'pos': 0.105, 'compound': -0.9999}","{'neg': 0.107, 'neu': 0.787, 'pos': 0.106, 'compound': 0.7567}","{'neg': 0.196, 'neu': 0.74, 'pos': 0.065, 'compound': -0.9999}","{'neg': 0.077, 'neu': 0.821, 'pos': 0.102, 'compound': 0.996}","{'neg': 0.042, 'neu': 0.848, 'pos': 0.11, 'compound': 0.971}",1284,1208,346,238,76,0.135,0.107,0.196,0.077,0.042,0.105,0.106,0.065,0.102,0.11,-0.9999,0.7567,-0.9999,0.996,0.971,45,1060,0.04245283018867924
Ronin,Ronin,1,-0.9908,0.9731,-0.9971,-0.9902,-0.9846,9,6,10,5,5,277,228,133,89,57,"{'neg': 0.12, 'neu': 0.779, 'pos': 0.101, 'compound': -0.9997}","{'neg': 0.099, 'neu': 0.781, 'pos': 0.12, 'compound': 0.9963}","{'neg': 0.133, 'neu': 0.771, 'pos': 0.095, 'compound': -0.9998}","{'neg': 0.114, 'neu': 0.809, 'pos': 0.077, 'compound': -0.9902}","{'neg': 0.153, 'neu': 0.73, 'pos': 0.117, 'compound': -0.9954}",1108,684,532,89,114,0.12,0.099,0.133,0.114,0.153,0.101,0.12,0.095,0.077,0.117,-0.9997,0.9963,-0.9998,-0.9902,-0.9954,35,784,0.044642857142857144
Burlesque,Burlesque,1,0.9998,0.9945,0.998,0.999,0.9986,15,7,10,4,5,783,421,348,173,210,"{'neg': 0.081, 'neu': 0.787, 'pos': 0.132, 'compound': 1.0}","{'neg': 0.092, 'neu': 0.797, 'pos': 0.111, 'compound': 0.9996}","{'neg': 0.087, 'neu': 0.798, 'pos': 0.116, 'compound': 0.9998}","{'neg': 0.054, 'neu': 0.784, 'pos': 0.161, 'compound': 0.9999}","{'neg': 0.062, 'neu': 0.82, 'pos': 0.118, 'compound': 0.9999}",3132,1684,1044,519,840,0.081,0.092,0.087,0.054,0.062,0.132,0.111,0.116,0.161,0.118,1.0,0.9996,0.9998,0.9999,0.9999,41,1935,0.02118863049095607
The Ghost and the Darkness,"Ghost-and-the-Darkness,-The",0,0.9838,0.9783,0.9823,0.9936,0.925,13,8,1,4,5,155,112,56,66,65,"{'neg': 0.126, 'neu': 0.731, 'pos': 0.144, 'compound': 0.9979}","{'neg': 0.121, 'neu': 0.735, 'pos': 0.144, 'compound': 0.9938}","{'neg': 0.09, 'neu': 0.751, 'pos': 0.159, 'compound': 0.9953}","{'neg': 0.121, 'neu': 0.697, 'pos': 0.181, 'compound': 0.9993}","{'neg': 0.108, 'neu': 0.743, 'pos': 0.148, 'compound': 0.9894}",465,224,112,198,195,0.126,0.121,0.09,0.121,0.108,0.144,0.144,0.159,0.181,0.148,0.9979,0.9938,0.9953,0.9993,0.9894,31,454,0.06828193832599119
Changeling,Changeling,1,0.9991,-0.9948,-0.9965,0.9874,0.8883,13,22,6,5,12,403,160,113,88,58,"{'neg': 0.099, 'neu': 0.766, 'pos': 0.134, 'compound': 0.9998}","{'neg': 0.127, 'neu': 0.772, 'pos': 0.101, 'compound': -0.9948}","{'neg': 0.1, 'neu': 0.86, 'pos': 0.041, 'compound': -0.9965}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.086, 'neu': 0.818, 'pos': 0.096, 'compound': 0.9575}",806,160,113,0,116,0.099,0.127,0.1,0.0,0.086,0.134,0.101,0.041,0.0,0.096,0.9998,-0.9948,-0.9965,0.0,0.9575,58,822,0.0705596107055961
Semi-Pro,Semi-Pro,0,0.9999,-0.9883,0.9953,0.9992,0.9901,27,7,5,12,2,661,419,215,178,125,"{'neg': 0.085, 'neu': 0.742, 'pos': 0.173, 'compound': 1.0}","{'neg': 0.137, 'neu': 0.731, 'pos': 0.132, 'compound': -0.9968}","{'neg': 0.09, 'neu': 0.786, 'pos': 0.123, 'compound': 0.9953}","{'neg': 0.078, 'neu': 0.791, 'pos': 0.131, 'compound': 0.9999}","{'neg': 0.1, 'neu': 0.75, 'pos': 0.15, 'compound': 0.9901}",1322,838,215,534,125,0.085,0.137,0.09,0.078,0.1,0.173,0.132,0.123,0.131,0.15,1.0,-0.9968,0.9953,0.9999,0.9901,53,1598,0.03316645807259074
Elizabeth: The Golden Age,Elizabeth-The-Golden-Age,1,0.9995,0.9991,0.9913,-0.9896,0.992,21,5,9,6,5,422,207,120,109,75,"{'neg': 0.107, 'neu': 0.732, 'pos': 0.161, 'compound': 1.0}","{'neg': 0.115, 'neu': 0.695, 'pos': 0.19, 'compound': 0.9998}","{'neg': 0.088, 'neu': 0.752, 'pos': 0.16, 'compound': 0.9913}","{'neg': 0.142, 'neu': 0.755, 'pos': 0.103, 'compound': -0.9973}","{'neg': 0.134, 'neu': 0.653, 'pos': 0.213, 'compound': 0.992}",1688,414,120,218,75,0.107,0.115,0.088,0.142,0.134,0.161,0.19,0.16,0.103,0.213,1.0,0.9998,0.9913,-0.9973,0.992,46,933,0.04930332261521972
All the King's Men,All-the-King's-Men,0,0.9998,0.9965,0.9871,0.9116,0.9735,25,13,6,4,2,666,453,169,92,83,"{'neg': 0.078, 'neu': 0.792, 'pos': 0.13, 'compound': 1.0}","{'neg': 0.086, 'neu': 0.805, 'pos': 0.109, 'compound': 0.9998}","{'neg': 0.072, 'neu': 0.815, 'pos': 0.113, 'compound': 0.9988}","{'neg': 0.107, 'neu': 0.745, 'pos': 0.148, 'compound': 0.9116}","{'neg': 0.081, 'neu': 0.786, 'pos': 0.133, 'compound': 0.9967}",2664,1812,507,92,249,0.078,0.086,0.072,0.107,0.081,0.13,0.109,0.113,0.148,0.133,1.0,0.9998,0.9988,0.9116,0.9967,50,1463,0.03417634996582365
Thunderbirds,Thunderbirds,0,0.9897,-0.8431,-0.874,-0.9804,-0.9838,9,12,9,0,4,305,176,216,118,143,"{'neg': 0.077, 'neu': 0.829, 'pos': 0.094, 'compound': 0.9972}","{'neg': 0.097, 'neu': 0.819, 'pos': 0.085, 'compound': -0.8431}","{'neg': 0.117, 'neu': 0.771, 'pos': 0.112, 'compound': -0.9502}","{'neg': 0.112, 'neu': 0.8, 'pos': 0.088, 'compound': -0.9974}","{'neg': 0.127, 'neu': 0.765, 'pos': 0.107, 'compound': -0.9979}",610,176,432,354,429,0.077,0.097,0.117,0.112,0.127,0.094,0.085,0.112,0.088,0.107,0.9972,-0.8431,-0.9502,-0.9974,-0.9979,34,958,0.03549060542797495
The Godfather: Part III,"Godfather-Part-III,-The",1,0.9927,0.6019,0.9975,0.8568,-0.78,17,4,4,5,0,285,62,45,49,46,"{'neg': 0.086, 'neu': 0.806, 'pos': 0.108, 'compound': 0.9981}","{'neg': 0.031, 'neu': 0.93, 'pos': 0.039, 'compound': 0.9815}","{'neg': 0.015, 'neu': 0.818, 'pos': 0.167, 'compound': 0.9975}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",570,186,45,0,0,0.086,0.031,0.015,0.0,0.0,0.108,0.039,0.167,0.0,0.0,0.9981,0.9815,0.9975,0.0,0.0,30,487,0.061601642710472276
Law Abiding Citizen,Law-Abiding-Citizen,1,-0.997,0.9918,-0.9947,-0.9955,-0.9228,22,8,5,4,3,542,414,124,104,69,"{'neg': 0.141, 'neu': 0.731, 'pos': 0.128, 'compound': -0.9997}","{'neg': 0.125, 'neu': 0.731, 'pos': 0.144, 'compound': 0.9981}","{'neg': 0.159, 'neu': 0.745, 'pos': 0.096, 'compound': -0.9986}","{'neg': 0.169, 'neu': 0.727, 'pos': 0.104, 'compound': -0.9994}","{'neg': 0.102, 'neu': 0.821, 'pos': 0.077, 'compound': -0.9228}",1626,828,248,312,69,0.141,0.125,0.159,0.169,0.102,0.128,0.144,0.096,0.104,0.077,-0.9997,0.9981,-0.9986,-0.9994,-0.9228,42,1253,0.0335195530726257
Anastasia,Anastasia,1,0.9558,0.9932,0.9968,-0.9523,-0.8409,2,1,5,3,4,171,112,78,55,80,"{'neg': 0.094, 'neu': 0.803, 'pos': 0.103, 'compound': 0.9558}","{'neg': 0.074, 'neu': 0.791, 'pos': 0.135, 'compound': 0.9932}","{'neg': 0.035, 'neu': 0.805, 'pos': 0.161, 'compound': 0.9992}","{'neg': 0.107, 'neu': 0.816, 'pos': 0.077, 'compound': -0.9523}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",171,112,156,55,0,0.094,0.074,0.035,0.107,0.0,0.103,0.135,0.161,0.077,0.0,0.9558,0.9932,0.9992,-0.9523,0.0,15,496,0.03024193548387097
Beloved,Beloved,0,0.9997,0.9993,0.998,0.9965,0.9996,9,13,6,2,3,573,391,235,169,147,"{'neg': 0.075, 'neu': 0.805, 'pos': 0.12, 'compound': 0.9999}","{'neg': 0.096, 'neu': 0.765, 'pos': 0.139, 'compound': 0.9998}","{'neg': 0.094, 'neu': 0.758, 'pos': 0.147, 'compound': 0.9995}","{'neg': 0.043, 'neu': 0.841, 'pos': 0.116, 'compound': 0.9996}","{'neg': 0.071, 'neu': 0.737, 'pos': 0.192, 'compound': 0.9996}",1146,782,470,507,147,0.075,0.096,0.094,0.043,0.071,0.12,0.139,0.147,0.116,0.192,0.9999,0.9998,0.9995,0.9996,0.9996,33,1515,0.02178217821782178
Zero Dark Thirty,Zero-Dark-Thirty,1,0.9842,-0.9961,0.9977,0.7416,0.8676,20,12,5,4,4,321,310,122,56,101,"{'neg': 0.094, 'neu': 0.805, 'pos': 0.101, 'compound': 0.9776}","{'neg': 0.111, 'neu': 0.794, 'pos': 0.095, 'compound': -0.9995}","{'neg': 0.059, 'neu': 0.805, 'pos': 0.136, 'compound': 0.9997}","{'neg': 0.067, 'neu': 0.842, 'pos': 0.091, 'compound': 0.6251}","{'neg': 0.082, 'neu': 0.825, 'pos': 0.093, 'compound': 0.8676}",1284,930,366,112,101,0.094,0.111,0.059,0.067,0.082,0.101,0.095,0.136,0.091,0.093,0.9776,-0.9995,0.9997,0.6251,0.8676,45,910,0.04945054945054945
Casino,Casino,1,0.9999,-0.9998,-0.9722,0.9875,-0.9828,63,35,12,4,5,1317,989,562,117,62,"{'neg': 0.102, 'neu': 0.77, 'pos': 0.128, 'compound': 1.0}","{'neg': 0.133, 'neu': 0.759, 'pos': 0.108, 'compound': -1.0}","{'neg': 0.148, 'neu': 0.69, 'pos': 0.162, 'compound': -0.9984}","{'neg': 0.078, 'neu': 0.779, 'pos': 0.143, 'compound': 0.9975}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",5268,3956,1686,234,0,0.102,0.133,0.148,0.078,0.0,0.128,0.108,0.162,0.143,0.0,1.0,-1.0,-0.9984,0.9975,0.0,119,3047,0.0390548080078766
