,Processed Title,Success,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean
Battle: Los Angeles,Battle-Los-Angeles,1,22.855825391945896,-2.442527703056444,3.2,-3.7963800948739053,-0.6640981975000702,-1.0188855447309575
War Horse,War-Horse,1,38.008633093525184,-1.4679463590895754,1.0,-1.321983386748979,-0.7320658255708418,-0.9393973293108582
Big Fish,Big-Fish,1,54.95111914559597,0.04103042181912591,2.0,0.560709760737378,-0.6867540735236607,-0.6770862184245304
The Abyss,"Abyss,-The",0,32.5429110030757,-0.3942825784860753,2.0,-0.5016670867727806,-0.25629242907544114,-0.4227239290802126
The Siege,"Siege,-The",1,41.91119769471164,0.9555125829080374,2.8,1.340682636124583,0.038233959231235425,-0.33528689211810336
Hard Rain,Hard-Rain,0,35.8169428027,-0.4007797874458544,1.8,0.07658866566945764,-0.30160418112262216,0.030358898814353438
Next,Next,1,23.10670298233893,1.3534666316945088,1.4,2.335820442653086,-0.4148835612405747,1.675764958010409
Hall Pass,Hall-Pass,1,39.12849065312717,2.3118049532619294,2.4,2.214790168886106,-0.14301304895748862,4.537340713133984
The Insider,"Insider,-The",0,44.776712138361034,0.5283210938025601,3.6,0.560709760737378,0.33276034753791195,-0.8281138277227191
Entrapment,Entrapment,1,51.1767578125,0.41786854148631497,2.8,-0.8244144834847275,-0.07504542088671709,-0.7963185415546794
The X Files: Fight the Future,"X-Files-Fight-the-Future,-The",1,38.79217273954115,-0.4901164106428174,4.8,-0.4747714703801183,-0.5508188173821177,-0.21605456898795442
Saving Private Ryan,Saving-Private-Ryan,1,52.459244809809114,0.3756366832477507,2.8,0.15727551484744437,0.15151333934918795,0.19728415119656198
Lincoln,Lincoln,1,54.445305710191896,0.7703421275543324,5.0,0.18417113124010662,-0.6640981975000702,-0.8758067569747787
The Matrix,"Matrix,-The",1,17.301107084677017,-0.6298064032780685,1.6,0.10348428206211988,-0.0977012969103076,-0.11271988894182532
Les Miserables,Les-Miserables,1,36.23407779745246,-0.043433294658002684,2.2,0.7355312672896825,-0.6414423214764797,-0.20810574744594448
