Processed Title,Release Date,Production Budget ($),Domestic Gross ($),Worldwide Gross ($),Domestic ROI (%),Worldwide ROI (%),Success
"Haunting,-The","Jul 23, 1999",80000000,91188905.0,180188905.0,13.98613125,125.23613125,1
"Day-the-Earth-Stood-Still,-The","Dec 12, 2008",80000000,79366978.0,237370350.0,-0.7912775,196.7129375,1
Swordfish,"Jun 8, 2001",80000000,69772969.0,147080413.0,-12.78378875,83.85051625,0
"Manchurian-Candidate,-The","Jul 30, 2004",80000000,65948711.0,96148711.0,-17.56411125,20.18588875,0
"Time-Machine,-The","Mar 8, 2002",80000000,56684819.0,98983590.0,-29.14397625,23.7294875,0
Mighty-Joe-Young,"Dec 25, 1998",80000000,50632037.0,50632037.0,-36.70995375,-36.70995375,0
Little-Nicky,"Nov 10, 2000",80000000,39442871.0,58270391.0,-50.69641125,-27.16201125,0
Surrogates,"Sep 25, 2009",80000000,38577772.0,119668350.0,-51.777784999999994,49.5854375,0
Thirteen-Days,"Dec 22, 2000",80000000,34566746.0,66554547.0,-56.791567500000006,-16.80681625,0
Nine,"Dec 18, 2009",80000000,19676965.0,53508858.0,-75.40379375,-33.1139275,0
"Postman,-The","Dec 25, 1997",80000000,17650704.0,20841123.0,-77.93661999999999,-73.94859625,0
Despicable-Me-2,"Jul 3, 2013",76000000,368065385.0,975216835.0,384.29655921052625,1183.1800460526315,1
Wanted,"Jun 27, 2008",75000000,134508551.0,342416460.0,79.34473466666667,356.55528,1
"Rock,-The","Jun 7, 1996",75000000,134069511.0,336069511.0,78.759348,348.09268133333336,1
Constantine,"Feb 18, 2005",75000000,75976178.0,221594911.0,1.3015706666666669,195.45988133333333,1
Life,"Apr 16, 1999",75000000,64062587.0,73521587.0,-14.583217333333335,-1.9712173333333332,0
Spanglish,"Dec 17, 2004",75000000,42044321.0,54344321.0,-43.94090533333333,-27.54090533333333,0
Hostage,"Mar 11, 2005",75000000,34636443.0,77636443.0,-53.818076,3.515257333333333,0
Soldier,"Oct 23, 1998",75000000,14623082.0,14623082.0,-80.50255733333333,-80.50255733333333,0
Monkeybone,"Feb 23, 2001",75000000,5409517.0,5409517.0,-92.78731066666668,-92.78731066666668,0
Unbreakable,"Nov 22, 2000",73243106,94999143.0,248099143.0,29.703870013377088,238.7337819889834,1
Sphere,"Feb 13, 1998",73000000,37068294.0,50168294.0,-49.22151506849315,-31.27630958904109,0
Funny-People,"Jul 31, 2009",72500000,51855045.0,71880305.0,-28.4758,-0.8547517241379309,0
"Kingdom,-The","Sep 28, 2007",72500000,47467250.0,86509602.0,-34.52793103448276,19.32358896551724,0
Braveheart,"May 24, 1995",72000000,75545647.0,209045244.0,4.924509722222221,190.34061666666668,1
Signs,"Aug 2, 2002",70702619,227969295.0,408269295.0,222.4340176139727,477.44578740428267,1
Runaway-Bride,"Jul 30, 1999",70000000,152257509.0,310138178.0,117.51072714285715,343.05454,1
xXx,"Aug 9, 2002",70000000,141930000.0,267200000.0,102.75714285714285,281.7142857142857,1
Inglourious-Basterds,"Aug 21, 2009",70000000,120774594.0,316915264.0,72.53513428571429,352.73609142857146,1
Die-Hard-2,"Jul 3, 1990",70000000,117323878.0,239814025.0,67.60554,242.5914642857143,1
Sleepy-Hollow,"Nov 19, 1999",70000000,101068340.0,207068340.0,44.38334285714286,195.8119142857143,1
Vanilla-Sky,"Dec 14, 2001",70000000,100614858.0,202726605.0,43.735511428571435,189.6094357142857,1
Battle-Los-Angeles,"Mar 11, 2011",70000000,83552429.0,213463976.0,19.360612857142858,204.94853714285716,1
War-Horse,"Dec 25, 2011",70000000,79883359.0,156815529.0,14.119084285714285,124.02218428571429,1
Big-Fish,"Dec 10, 2003",70000000,66432867.0,123954323.0,-5.095904285714286,77.07760428571429,0
"Abyss,-The","Aug 9, 1989",70000000,54243125.0,54243125.0,-22.509821428571424,-22.509821428571424,0
"Siege,-The","Nov 6, 1998",70000000,40934175.0,116625798.0,-41.52260714285714,66.60828285714285,0
Hard-Rain,"Jan 16, 1998",70000000,19870567.0,19870567.0,-71.61347571428571,-71.61347571428571,0
Next,"Apr 27, 2007",70000000,18211013.0,73591500.0,-73.98426714285716,5.130714285714285,0
Hall-Pass,"Feb 25, 2011",68000000,45060734.0,87173475.0,-33.73421470588235,28.196286764705878,0
"Insider,-The","Nov 5, 1999",68000000,28965197.0,60265197.0,-57.404122058823525,-11.374710294117648,0
Entrapment,"Apr 30, 1999",66000000,87707396.0,211700000.0,32.88999393939394,220.75757575757572,1
"X-Files-Fight-the-Future,-The","Jun 19, 1998",66000000,83898313.0,189176423.0,27.11865606060606,186.63094393939397,1
Saving-Private-Ryan,"Jul 24, 1998",65000000,216335085.0,485035085.0,232.8232076923077,646.2078230769231,1
Lincoln,"Nov 9, 2012",65000000,182207973.0,273346281.0,180.31995846153842,320.53274,1
"Matrix,-The","Mar 31, 1999",65000000,171479930.0,463517383.0,163.81527692307694,613.1036661538461,1
Les-Miserables,"Dec 25, 2012",65000000,148809770.0,442169052.0,128.93810769230768,580.26008,1
Cliffhanger,"May 28, 1993",65000000,84049211.0,255000000.0,29.30647846153846,292.3076923076923,1
Broken-Arrow,"Feb 9, 1996",65000000,70645997.0,148345997.0,8.686149230769233,128.22461076923076,1
Blade-Trinity,"Dec 8, 2004",65000000,52397389.0,131353165.0,-19.38863230769231,102.08179230769233,1
Fight-Club,"Oct 15, 1999",65000000,37030102.0,100851705.0,-43.03061230769231,55.156469230769225,0
"Long-Kiss-Goodnight,-The","Oct 11, 1996",65000000,33447612.0,33447612.0,-48.542135384615385,-48.542135384615385,0
Hudson-Hawk,"May 24, 1991",65000000,17218916.0,17218916.0,-73.50936,-73.50936,0
Jurassic-Park,"Jun 11, 1993",63000000,395708305.0,1038812584.0,528.1084206349207,1548.9088634920636,1
"American-President,-The","Nov 17, 1995",62000000,60022813.0,107822813.0,-3.1890112903225805,73.90776290322579,0
